"","","","","a","a","a","a"
"a.temp","-6114803.16967925","-4142967.45919096","River (1)","6751.77855171525","10285.907218685","9451.05609079727","4186.52412526183"
"a.temp","-6114803.16967925","-4143117.45919096","River (1)","6894.5520965036","10169.583192609","9304.36973853664","4183.20681432312"
"a.temp","-6114803.16967925","-4143267.45919096","River (1)","7037.62627676422","10054.1512476885","9157.79073965967","4185.266329805"
"a.temp","-6114803.16967925","-4143567.45919096","Wetland (2-3)","7324.60603796561","9826.08911578743","8864.97609874931","4205.4636190793"
"a.temp","-6114803.16967925","-4143717.45919096","Wetland (2-3)","7468.47967202177","9713.52471100971","8718.75198818022","4223.52450583628"
"a.temp","-6114803.16967925","-4143867.45919096","Wetland (2-3)","7612.58980974296","9601.98402994904","8572.65835265798","4246.80989113001"
"a.temp","-6114803.16967925","-4144017.45919096","Wetland (2-3)","7756.92326966062","9491.50316395651","8426.70197831848","4275.23440894177"
"a.temp","-6114803.16967925","-4144167.45919096","Wetland (2-3)","7901.46781372945","9382.11955324576","8280.8901231327","4308.69635172865"
"a.temp","-6114803.16967925","-4144317.45919096","Wetland (2-3)","8046.21206602228","9273.87202366932","8135.23055797417","4347.07939327082"
"a.temp","-6114803.16967925","-4144467.45919096","Wetland (2-3)","8191.14543952204","9166.80082206418","7989.73161197526","4390.2544631718"
"a.temp","-6114803.16967925","-4144617.45919096","Wetland (2-3)","8336.25807010572","9060.94764974374","7844.40222269338","4438.08170850875"
"a.temp","-6114803.16967925","-4144767.45919096","Wetland (2-3)","8481.54075692635","8956.35569366228","7699.25199168055","4490.41248120927"
"a.temp","-6114803.16967925","-4144917.45919096","Wetland (2-3)","8626.98490849513","8853.0696547241","7554.29124613269","4547.09129569663"
"a.temp","-6114803.16967925","-4145067.45919096","Wetland (2-3)","8772.58249384996","8751.13577265242","7409.53110739114","4607.95770937626"
"a.temp","-6114803.16967925","-4145217.45919096","Wetland (2-3)","8918.32599826912","8650.60184677326","7264.98356718011","4672.84808777261"
"a.temp","-6114803.16967925","-4145367.45919096","Wetland (2-3)","9064.20838305271","8551.51725200838","7120.66157259262","4741.59722576688"
"a.temp","-6114803.16967925","-4145517.45919096","Wetland (2-3)","9210.22304894963","8453.93294930809","6976.57912098739","4814.03980575569"
"a.temp","-6114803.16967925","-4145667.45919096","Wetland (2-3)","9356.36380285649","8357.90148969208","6832.75136613336","4890.01168213332"
"a.temp","-6114803.16967925","-4145817.45919096","Wetland (2-3)","9502.62482745705","8263.47701100433","6689.19473714118","4969.35098895222"
"a.temp","-6114803.16967925","-4145967.45919096","Wetland (2-3)","9649.00065350828","8170.71522642891","6545.92707195836","5051.89907375439"
"a.temp","-6114803.16967925","-4146117.45919096","Wetland (2-3)","9795.48613451131","8079.67340375818","6402.96776748075","5137.50126534296"
"a.temp","-6114803.16967925","-4146267.45919096","Wetland (2-3)","9942.07642353464","7990.41033435688","6260.3379486572","5226.00748673407"
"a.temp","-6114803.16967925","-4146417.45919096","Wetland (2-3)","10088.766951982","7902.98629072564","6118.06065934276","5317.27272682158"
"a.temp","-6114803.16967925","-4146567.45919096","Wetland (2-3)","10235.5534101192","7817.4629715399","5976.16107810002","5411.15738556925"
"a.temp","-6114803.16967925","-4146717.45919096","Wetland (2-3)","10382.4317291954","7733.90343302769","5834.66676266928","5507.52750800218"
"a.temp","-6114803.16967925","-4146867.45919096","Wetland (2-3)","10529.3980650084","7652.37200555472","5693.60792743913","5606.25492208486"
"a.temp","-6114803.16967925","-4147017.45919096","Wetland (2-3)","10676.4487827837","7572.93419431316","5553.01775896654","5707.2172949171"
"a.temp","-6114803.16967925","-4147167.45919096","Wetland (2-3)","10823.5804432454","7495.65656306355","5412.93277543679","5810.29812069922"
"a.temp","-6114803.16967925","-4147317.45919096","Wetland (2-3)","10970.7897897737","7420.60659996187","5273.39323693937","5915.38665273885"
"a.temp","-6114803.16967925","-4147467.45919096","Wetland (2-3)","11118.0737365518","7347.85256462034","5134.44361458941","6022.37779049114"
"a.temp","-6114803.16967925","-4147617.45919096","Wetland (2-3)","11265.4293576146","7277.46331570265","4996.13312786979","6131.17193131958"
"a.temp","-6114803.16967925","-4147767.45919096","Wetland (2-3)","11412.8538767218","7209.50811854719","4858.5163611331","6241.67479538954"
"a.temp","-6114803.16967925","-4147917.45919096","Wetland (2-3)","11560.3446579851","7144.05643254572","4721.65397201003","6353.79723090068"
